requete,formattage,lat,lng
"rue+Darboy,Paris","Rue Darboy, 75011 Paris, France",48.8690771,2.3730619
"cour+Debille,Paris","Cour Debille, 75011 Paris, France",48.85611170000001,2.3795726
"rue+Deguerry,Paris","Rue Deguerry, 75011 Paris, France",48.8686535,2.3732531
"rue+Robert+Et+Sonia+Delaunay,Paris","Rue Robert et Sonia Delaunay, 75011 Paris, France",48.8555192,2.3931303
"cour+Delepine,Paris","Cour Delepine, 75011 Paris, France",48.8538723,2.3758626
"rue+Charles+Delescluze,Paris","Rue Charles Delescluze, 75011 Paris, France",48.8525401,2.3801237
"rue+Desargues,Paris","Rue Desargues, 75011 Paris, France",48.8695583,2.376417
"rue+Dranem,Paris","Rue Dranem, 75011 Paris, France",48.8655887,2.3802185
"passage+Dumas,Paris","Passage Dumas, 75011 Paris, France",48.8523044,2.3911994
"rue+Faidherbe,Paris","Rue Faidherbe, Paris, France",48.8518368,2.3836376
"rue+Gobert,Paris","Rue Gobert, 75011 Paris, France",48.8557009,2.3826537
"rue+des+Goncourt,Paris","Rue des Goncourt, Paris, France",48.8695089,2.3721036
"passage+Guilhem,Paris","Passage Guilhem, 75011 Paris, France",48.8619729,2.3797889
"cite+de+l'Industrie,Paris","Cite de l'Industrie, 75011 Paris, France",48.8653836,2.3782417
"square+Saint-Irenee,Paris","Square Saint-Irenee, 75011 Paris, France",48.8613443,2.3766715
"rue+Japy,Paris","Rue Japy, 75011 Paris, France",48.8558782,2.3825392
"cour+Saint-Joseph,Paris","Cour Saint-Joseph, 75011 Paris, France",48.85249779999999,2.3736841
"passage+Josset,Paris","Passage Josset, 75011 Paris, France",48.85295989999999,2.3766357
"impasse+Joudrier,Paris","Paris, France",48.856614,2.3522219
"rue+Keller,Paris","Rue Keller, 75011 Paris, France",48.8544226,2.3760958
"rue+de+Lappe,Paris","Rue de Lappe, 75011 Paris, France",48.8535931,2.372939
"rue+Auguste+Laurent,Paris","Rue Auguste Laurent, 75011 Paris, France",48.8573586,2.3821037
"rue+Richard+Lenoir,Paris","Rue Richard Lenoir, 75011 Paris, France",48.8558409,2.3815982
"cour+Saint-Louis,Paris","Cour Saint-Louis, 75012 Paris, France",48.8528142,2.3728034
"rue+de+Mont-Louis,Paris","Rue de Mont-Louis, Paris, France",48.858263,2.3886768
"rue+Charles+Luizet,Paris","Rue Charles Luizet, 75011 Paris, France",48.8616846,2.3675722
"villa+Marces,Paris","Villa Marces, 75011 Paris, France",48.8590112,2.3761724
"voie+N/11,Paris","11 Voie d'Issy, 92240 Malakoff, France",48.8139449,2.2794227
"rue+des+Nanettes,Paris","Rue des Nanettes, 75011 Paris, France",48.8644021,2.3837228
"rue+Fabre+d'Eglantine,Paris","Rue Fabre d'Eglantine, 75012 Paris, France",48.8469972,2.3956598
"voie+DA/12,Paris","12U Voie 24, 75015 Paris, France",48.83809249999999,2.3147169
"route+des+Dames,Paris","Route des Dames, 75012 Paris, France",48.839372,2.4536829
"rue+Claude+Decaen,Paris","Rue Claude Decaen, 75012 Paris, France",48.8363124,2.3989843
"rue+Andre+Derain,Paris","Rue Andre Derain, 75012 Paris, France",48.8398964,2.4070016
"rue+Henri+Desgrange,Paris","Rue Henri Desgrange, 75012 Paris, France",48.8394603,2.3813837
"boulevard+Diderot,Paris","Boulevard Diderot, 75012 Paris, France",48.8467518,2.381741
"rue+de+Dijon,Paris","Rue de Dijon, 75012 Paris, France",48.8354799,2.3857391
"avenue+du+General+Dodds,Paris","Avenue du General Dodds, 75012 Paris, France",48.8338251,2.4051988
"avenue+Dorian,Paris","Avenue Dorian, 75012 Paris, France",48.8477086,2.3946816
"impasse+Druinot,Paris","Impasse Druinot, 75012 Paris, France",48.8498635,2.380637000000001
"passage+Dubuffet,Paris","Passage Dubuffet, 75012 Paris, France",48.8330102,2.3887774
"rue+Paul+Dukas,Paris","Rue Paul Dukas, 75012 Paris, France",48.8408305,2.3920079
"rue+Robert+Etlin,Paris","Rue Robert Etlin, 75012 Paris, France",48.82921349999999,2.3902506
"route+de+la+Ferme,Paris","Route de la Ferme, 75012 Paris, France",48.82357409999999,2.4572662
"avenue+de+Fontenay,Paris","Avenue de Fontenay, 75012 Paris, France",48.8406347,2.4616434
"passage+Gatbois,Paris","Passage Gatbois, 75012 Paris, France",48.8444156,2.3789001
"villa+Jean+Godard,Paris","Villa Jean Godard, 75012 Paris, France",48.835451,2.4053618
"rue+du+Docteur+Goujon,Paris","Rue du Dr Goujon, 75012 Paris, France",48.84022909999999,2.3985633
"rue+Theodore-Hamont,Paris","Rue Theodore-Hamont, 75012 Paris, France",48.833057,2.3975468
"ruelle+des+Hebrard,Paris","Ruelle des Hebrard, 75012 Paris, France",48.8424537,2.3845432
"rue+Jaucourt,Paris","Rue Jaucourt, 75012 Paris, France",48.8469218,2.3947529
"rue+Ernest+Lacoste,Paris","Rue Ernest Lacoste, 75012 Paris, France",48.83504,2.4044287
"rue+Ernest+Lefebure,Paris","Rue Ernest Lefebure, 75012 Paris, France",48.8371315,2.408761
"rue+Lheureux,Paris","Rue Lheureux, 75012 Paris, France",48.832725,2.387849
"rue+de+la+Breche+aux+Loups,Paris","Rue de la Breche aux Loups, 75012 Paris, France",48.8374066,2.3939005
"rue+de+Lyon,Paris","Rue de Lyon, 75012 Paris, France",48.8494191,2.3709496
"voie+M/12,Paris","12U Voie 24, 75015 Paris, France",48.83809249999999,2.3147169
"cours+des+Marechaux,Paris","Cours des Marechaux, 75012 Paris, France",48.8424782,2.4390743
"rue+des+Marguettes,Paris","Rue des Marguettes, 75012 Paris, France",48.84293599999999,2.4079019
"cour+du+Midi,Paris","Paris, France",48.856614,2.3522219
"rue+de+Montempoivre,Paris","Rue de Montempoivre, 75012 Paris, France",48.8401317,2.4066862
"rue+Montera,Paris","Rue Montera, 75012 Paris, France",48.8453526,2.4091035
"route+Bosquet+Mortemart,Paris","Route Bosquet Mortemart, 75012 Paris, France",48.828511,2.457948
"rue+Charles+Nicolle,Paris","Rue Charles Nicolle, 75012 Paris, France",48.8442539,2.3862329
"avenue+de+Nogent,Paris","Avenue de Nogent, Paris, France",48.8406326,2.4537112
"rue+de+l'Amiral+La+Ronciere+Le+Noury,Paris","Rue de l'Amiral la Ronciere le Noury, 75012 Paris, France",48.8362314,2.4084027
"route+Nouvelle,Paris","Route Nouvelle, 75012 Paris, France",48.8201942,2.4394438
"route+Odette,Paris","Route Odette, 75012 Paris, France",48.838681,2.465079
"place+du+Bataillon+Du+Pacifique,Paris","Creche Collective Municipale - Bataillon du Pacifique, Place du Bataillon-Francais-de-l'ONU-en-Coree, 75012 Paris, France",48.8538889,2.3566667
"rue+du+Pensionnat,Paris","Rue du Pensionnat, 75012 Paris, France",48.846692,2.3979293
"route+du+Grand+Prieur,Paris","Route du Grand Prieur, 75012 Paris, France",48.8361662,2.4559523
"passage+Raguinot,Paris","Passage Raguinot, 75012 Paris, France",48.8449476,2.3786443
"rue+Raoul,Paris","Rue Raoul, 75012 Paris, France",48.8387731,2.3969027
"port+de+la+Rapee,Paris","Port de la Rapee, 75012 Paris, France",48.8414192,2.3725098
"rue+de+Reuilly,Paris","Rue de Reuilly, 75012 Paris, France",48.8446693,2.3897199
"place+Lucien+Herr,Paris","Place Lucien Herr, 75005 Paris, France",48.8418141,2.3478463
"rue+Nicolas+Houel,Paris","Rue Nicolas Houel, 75005 Paris, France",48.84204099999999,2.3625529
"place+Alfred+Kastler,Paris","Place Alfred Kastler, 75005 Paris, France",48.8421554,2.3459734
"rue+Lagrange,Paris","Rue Lagrange, 75005 Paris, France",48.8513276,2.3479993
"rue+Jacques-Henri+Lartigue,Paris","Rue Jacques-Henri Lartigue, 75005 Paris, France",48.8464505,2.3509545
"rue+Lhomond,Paris","Rue Lhomond, 75005 Paris, France",48.8427348,2.3471764
"rue+Malebranche,Paris","Rue Malebranche, 75005 Paris, France",48.8464332,2.3425612
"place+Louis+Marin,Paris","Place Louis Marin, 75005 Paris, France",48.8438848,2.3392635
"rue+Saint-Medard,Paris","Rue Saint-Medard, 75005 Paris, France",48.8436281,2.3504195
"rue+de+Mirbel,Paris","Rue de Mirbel, 75005 Paris, France",48.8408112,2.3520116
"impasse+Carriere-Mainguet,Paris","Impasse Carriere-Mainguet, 75011 Paris, France",48.8567991,2.388114
