rue;x;y
Carrefour de la Patte d'Oie;24422;488217
Carrefour des Cascades;22579;488584
Carrefour des Tribunes;22290;488616
Champs-Elysees;23073;488657
Chaussee de l'Etang;24205;488401
Chaussee de la Muette;22725;488582
Chemin de Ceinture du Lac Superieur;22562;488568
Chemin de l'Abbaye;22339;488664
Chemin de la Croix Catelan;22550;488648
Chemin de Suresnes A Bagatelle;22389;488676
Chemin des Gravilliers;22408;488582
Chemin des Lacs A la Porte Dauphine;22677;488679
Chemin des Pepinieres;22268;488558
Chemin des Reservoirs;22399;488596
Chemin du Cimetiere;24133;488253
Chemin du Pavillon d'Armenonville;22756;488757
Chemin Vert;23679;488576
Cite Adrienne;24014;488585
Cite Antoine Loubeyre;23889;488707
Cite Aubry;23964;488573
Cite Bauer;23194;488319
Cite Beauharnais;23894;488536
Cite Bergere;23439;488719
Cite Berryer;23229;488691
Cite Bertrand;23817;488640
Cite Champagne;24045;488535
Cite Chaptal;23330;488813
Cite Charles Godon;23410;488792
Cite Condorcet;23449;488795
Cite d'Angouleme;23748;488663
Cite d'Antin;23344;488738
Cite d'Austerlitz;23625;488420
Cite d'Hauteville;23517;488763
Cite de Crussol;23679;488634
Cite de Genes;23832;488705
Cite de l'Alma;23018;488607
Cite de l'Ameublement;23856;488510
Cite de l'Avenir;23831;488658
Cite de l'Ermitage;23924;488697
Cite de l'Industrie;23782;488653
Cite de la Mairie;23403;488845
Cite de la Roquette;23741;488549
Cite de Londres;23293;488766
Cite de Phalsbourg;23854;488557
Cite de Trevise;23466;488749
Cite de Varenne;23214;488537
Cite Debergue;24042;488458
Cite des Ecoles;23952;488660
Cite des Fleurs;23208;488929
Cite du Cardinal Lemoine;23530;488487
Cite du Labyrinthe;23859;488669
Cite du Midi;23356;488835
Cite du Retiro;23216;488697
Cite du Sacre-Cur;23423;488874
Cite du Wauxhall;23629;488693
Cite Dubourg;24011;488626
Cite Dupetit-Thouars;23622;488659
Cite Duplan;22848;488757
Cite Dupont;23805;488627
Cite Durmar;23823;488657
Cite Falaise;23345;488965
Cite Falguiere;23123;488404
Cite Fenelon;23421;488788
Cite Ferembach;22894;488780
Cite Florentine;23887;488786
Cite Florentine Estrade;22681;488471
Cite Germain Pilon;23365;488841
Cite Griset;23784;488672
Cite Hermel;23446;488905
Cite Heron;23650;488745
Cite Hittorf;23586;488716
Cite Hiver;23774;488799
Cite Industrielle;23807;488588
Cite Joly;23830;488623
Cite Joyeux;23235;488968
Cite Leclaire;24061;488605
Cite Lepage;23713;488803
Cite Leroy;23927;488707
Cite Malesherbes;23390;488810
Cite Marie;23190;488960
Cite Martignac;23179;488568
Cite Monthiers;23280;488809
Cite Morieux;22953;488530
Cite Moynet;23863;488436
Cite Negrier;23072;488579
Cite Nicolas Poussin;23306;488386
Cite Noel;23545;488612
Cite Nollez;23376;488939
Cite Odiot;23039;488732
Cite Parchappe;23715;488530
Cite Pigalle;23335;488802
Cite Pilleux;23267;488888
Cite Popincourt;23748;488623
Cite Pottier;23733;488922
Cite Riverin;23580;488697
Cite Saint-Chaumont;23756;488753
Cite Saint-Martin;23582;488728
Cite Souzy;23887;488517
Cite Stemler;23751;488755
Cite Thure;22959;488455
Cite Vaneau;23190;488543
Cite Veron;23322;488848
Cite Voltaire;23905;488527
Cour Berard;23661;488542
Cour Carree;23385;488603
Cour d'Alger;23683;488472
Cour d'Alsace-Lorraine;23894;488456
Cour Damoye;23701;488538
Cour de l'Etoile d'Or;23747;488524
Cour de l'Industrie;23871;488507
Cour de l'Ours;23755;488517
Cour de la Ferme Saint-Lazare;23547;488762
Cour de la Grace de Dieu;23755;488718
Cour de la Maison Brulee;23752;488517
Cour de la Metairie;23856;488736
Cour de Rohan;23394;488530
Cour de Rome;23242;488758
Cour Debille;23795;488561
Cour Delepine;23758;488538
Cour des Fabriques;23750;488667
Cour des Fermes;23413;488636
Cour des Petites Ecuries;23527;488726
Cour du Bel air;23731;488520
Cour du Cantal;23717;488539
Cour du Chene Vert;23735;488498
Cour du Ginkgo;23807;488403
Cour du Havre;23261;488757
Cour du Levant;23908;488322
Cour du Marche Saint-Antoine;23753;488481
Cour du Minervois;23868;488318
Cour du Nom de Jesus;23727;488523
Cour du Roi Francois;23517;488669
Cour du Saint-Esprit;23775;488512
Cour Jacques Vigues;23736;488527
Cour Lesage;23812;488730
Cour Quellard;23740;488537
Cour Saint-Eloi;23883;488470
Cour Saint-Emilion;23853;488332
