haussmann,ascenseur,orientation_sud,WC_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,surface,coordonnee_x,coordonne_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,23,,,,,,2,,,,,,,,,,,,,,,,183000
,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,50,,,,5,,2,,,,,,,,,,,,,,,,350000
,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,87,,,,,,3,,,2,,,,,,,,,,,,,798000
,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,38,,,,,,2,,,,,,2,,,,,,,,,,103000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,2,,,,,,,,,,,,,,,,340000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,12,,,,4,,1,,,,,,,,,,,,,,,,127000
,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,1,,,,35,,,,,,3,,,,,,,,,,,,,,,,1300000
,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,80,,,,1,,3,2,3,2,,,,,,,,,,,,,960000
,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,35,,,,5,,2,,,,,,,,,,,,,,,,1145000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,74,,,,,,2,,,,,,,,,,,,,,,,1420000
,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,136,,,,2,,5,,,3,,,,,,,,,,,,,1890000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,103,,,,,,5,2,,3,,,,,,,,,,,,,955000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,34,,,,3,,2,,,,,,,,,,,,,,,,495000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,28,,,,,,2,,,,,,,,,,,,,,,,345000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,111,,,,,,5,,,3,,,,,,,,,,,,,1180000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,83,,,,,,3,,,1,,,,,,,,,,,,,850000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,90,,,,,,4,,,3,,,,,,,,,,,,,1180000
,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,24,,,,1,,1,,,,,,,,,,,,,,,,343000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,111,,,,,,5,,,3,,,,,,,,,,,,,1180000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,66,,,,,,3,,,2,,,,,,,,,,,,,840000
,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,170,,,,3,,10,,,,,,,,,,,,,,,,1730000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,136,,,,3,,4,,,,,,,,,,,,,,,,1735000
,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,6,,,,3,,1,,,,,,,,,,,,,,,,69000
,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,24,,,,1,,1,,,,,,,,,,,,,,,,343000
,,,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,1,,,76,,,,,,3,,,2,,,,,,,,,,,,,580000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,,,,5,,1,,,,,,,,,,,,,,,,159000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,24,,,,,,1,,,,,,,,,,,,,,,,215000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,1,,,,1,,,,36,,,17,2,,2,,,1,,,,,,,,,,,,,320000
,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,1,1,,1,,,,1,,,1,25,,,,,,1,,,,,,2,,,,,,,,,,258000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,45,,,,,,3,,,,,,,,,,,,,,,,330000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,48,,,,2,,3,,,2,,,,,,,,,,,,,400000
,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,49,,,,,,3,,,2,,,,,,,,,,,,,365000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,53,,,,1,,2,,,,,,,,,,,,,,,,380000
