description,url,localisation,prix,agence,titre,infos
"paris 12 / porte doree, rue du colonel oudot a vendre des murs en excellent etat pour bureaux ou commerce (sans restauration), belle vitrine 7.50 m lineaires. actuellement : un bureau ferme + grande piece avec placards (espace modulable) coin kitchenette et toilettes avec lave main separes.. copropriete de lots charges annuelles : 3800 euros",http://www.explorimmo.com/annonce-4121276.html,paris 12eme,380000,orpi porte doree,vente maison 2 pieces 68 m2,"nombre de pieces : 2, surface : 68 m2, nombre de chambres : 1, energie : nc, ges : nc"
"proche place daumesnil, dans une rue passante proche des transports , orpi porte doree vous propose des murs commerciaux comprenant: boutique, arriere-boutique,mezzanine, wc, douche cave en acces direct amenagee en bureau, activite restauration possible. copropriete de 16 lots charges annuelles : euros",http://www.explorimmo.com/annonce-5989436.html,paris 12eme,450000,orpi porte doree,vente maison 4 pieces 62 m2,"nombre de pieces : 4, surface : 62 m2, nombre de chambres : 3, energie : nc, ges : nc"
"vente d'un domaine d'architecte a 50 minutes de paris est. edifie sur un terrain paysage de 14540 m2, situe sur les hauteurs des coteaux champenois.. le domaine comprend une magnifique maison d'architecte renovee avec une ossature en pierre de taille, 200 m2 au sol, 400 m2 habitables sur deux niveaux avec un sous-sol total . elle offre : au rez de chaussee , une vaste piece de vie de 60 m2 avec acces sur une magnifique terrasse exposee plein sud. vous trouverez aussi une grande entree, cuisine",http://www.explorimmo.com/annonce-6692142.html,paris 12eme,1900000,lb immobilier,vente maison 20 pieces 720 m2,"nombre de pieces : 20, surface : 720 m2, nombre de chambres : 12, terrain : 14 540 m2, piscine : oui, energie : nc, ges : nc"
"sur la butte aux cailles, une maison d'architecte avec 4 chambres et une grande terrasse. proche de l'ancien belvedere, a quelques enjambees du tres populaire marche auguste-blanqui et de la piscine art deco classee. la maison est bien au calme dans une rue paisible, a l'image du quartier.elle est signee par un architecte qui, dans les annees 1980, avait revisite les standards des annees 1930 en renouant avec les aretes vives et les fenetres demesurees, donnant ainsi aux pieces de vie des volumes",http://www.explorimmo.com/annonce-5651656.html,paris 13eme,1350000,patrice besse,vente maison 6 pieces 118 m2,"nombre de pieces : 6, surface : 118 m2, nombre de chambres : 4, nombre de salles de bain : 1, exposition : non precise, salle de bain : oui, energie : d (151), ges : d (22)"
"paris 13eme - poterne des peupliers - en coeur d'ilot et au calme absolu, cette maison de ville est nee de la transformation et rehabilitation reussies d'une ancienne menuiserie. ouvrant sur un jardin et une terrasse privatifs (47,53m2), la maison en parfait etat s'organise sur deux niveaux. en rdc une reception et une cuisine americaine entierement equipee et amenagee developpent plus de 50m2 avec pres de 5m d'hsp. ouvrant sur la terrasse, deux chambres d'enfant, une salle de bains et wc separe.",http://www.explorimmo.com/annonce-4034716.html,"paris 13eme,",1350000,"ateliers, lofts & associes",vente maison 4 pieces 148 m2,"nombre de pieces : 4, surface : 148 m2, nombre de chambres : 3, nombre de salles de bain : 1, nombre de niveaux : rez-de-chaussee, jardin : oui, parking : oui, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : nc, ges : nc"
"superbe maison de ville d'environ 130m2 avec jardin, refaitpar architecte. au rez-de-chaussee : grand garage. au 1 niveau : vaste sejour et cuisine us donnant sur jardin. au 2 niveau : 2 chambres (possible 3) coup de coeur .",http://www.explorimmo.com/annonce-3666630.html,"paris 13eme,",1080000,laforet immobilier,vente maison 5 pieces 123 m2,"nombre de pieces : 5, surface : 123 m2, nombre de chambres : 2, nombre de salles de bain : 1, box : oui, cave : oui, garage : oui, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : nc, ges : nc"
75013 - paris - porte d'ivry - rue mirabeau - a 350m du metro pierre curie (ligne7) - proche des ecoles et a 700m des commerces - maison de ville 1920 de 120m2 + patio interieur de 25m2 +cave et garage - maison comprenant un double sejour avec cheminee (55m2) - une cuisine office - une salle d'eau avec wc - au 1er etage trois chambres - une salle de bains avec wc- au sous sol une grande cave (40m2) - un garage - chauffage individuel gaz - prix : 455 000 euros - telephone : 06.07.34.08.56/01.45.62.02.78,http://www.explorimmo.com/annonce-6289194.html,"paris 13eme,",455000,c.e.p.,vente maison 4 pieces 120 m2,"nombre de pieces : 4, surface : 120 m2, nombre de chambres : 3, nombre de salles de bain : 1, type de chauffage : gaz, cave : oui, cheminee : oui, garage : oui, salle d'eau : oui, salle de bain : oui, sous-sol : oui, energie : f (350), ges : d (30)"
"une maison de ville type loft/atelier d'artiste avec un jardin ensoleille, entierement renovee et idealement optimisee pour une famille. cette maison a la facade en brique et verriere est situee dans une impasse privee avec stationnement autorise et s'eleve sur 4 niveaux ; en rez de chaussee sureleve ; une entree, un sejour avec rangements et acces a la terrasse et au jardin plein sud, 2 chambres, une belle salle d'eau avec wc, au 1er etage un grand sejour de 55m2 en double exposition avec 2 verrieres",http://www.explorimmo.com/annonce-5754776.html,"paris 13eme,",1600000,immobiliere initiale paris lowendal,vente maison 8 pieces 185 m2,"nombre de pieces : 8, surface : 185 m2 (loi carrez), nombre de chambres : 5, nombre de salles de bain : 3, terrain : 100 m2, type de chauffage : chauffage central, statut : libre, nombre de niveaux : 4, exposition : sud, cave : oui, cheminee : oui, interphone : oui, jardin : oui, parking : oui, salle d'eau : oui, salle de bain : oui, sous-sol : oui, terrasse : oui, energie : d (191), ges : e (41)"
"i@d france - karine chabane (06 12 86 14 16) vous propose : un atelier d'artistes peintres de 1920 transforme en maison de ville avec un jardin.le cachet de cette maison avec sa facade en brique et sa verriere vous seduiront.dans le 13me arrondissement station cite universitaire vous beneficierez du calme de l'impasse privee dans laquelle se situe la maison. elle s'agence ainsi:au rez de chaussee sureleve : l'entree, un salon avec des rangements faits sur mesure et un acces au jardin par une porte",http://www.explorimmo.com/annonce-6716890.html,paris 13eme,1600000,i@d france,vente maison 8 pieces 185 m2,"nombre de pieces : 8, surface : 185 m2, nombre de chambres : 4, terrain : 100 m2, type de chauffage : gaz, exposition : non precise, interphone : oui, energie : d (191), ges : e (41)"
"metro gobelins. dans une residence de standing de 2007, bureau en rdc avec acces independant de la copropriete, entierement au normes, comprenant actuellement 4 espaces de travail, plan modulable, vendu avec un place de parking.. usage mixte. copropriete de lots charges annuelles : euros",http://www.explorimmo.com/annonce-6732298.html,paris 13eme,883000,orpi bellissimmo,vente maison 5 pieces 125 m2,"nombre de pieces : 5, surface : 125 m2, nombre de chambres : 4, energie : e (250), ges : e (50)"
