haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface_q,coordonnee_x_q,coordonnee_y_q,arrondissement_q,etage_q,nombre_etages_q,nombre_pieces_q,nombre_salles_de_bains_q,nombre_WC_q,nombre_chambres_q,date_refection_q,charges_q,nombre_fenetres_q,surface_balcon_q,date_construction_q,hauteur_plafond_q,taxe_fonciere_q,date_ravalement_q,honoraires_q,terrasse_surface_q,piscine_taille_q,classification_energie_q,prix
,,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,0,43,23879,488410,12,,,2,,,1,,,,,,,,,,,,,1000
1,0,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,1,,1,37,23115,488461,7,3,,2,,,1,,,,,,,,,,,,,3000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,81,23065,488464,15,3,,3,,,2,,,,,,,,,,,,,2000
,0,,1,,1,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,0,13,23327,488506,6,,,1,,,,,,,,,,,,,,,,0
,,,,,1,,,,1,1,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,0,33,23446,488462,5,,,2,,,1,,,,,,,,,,,,,1000
,0,1,,,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,1,36,24048,488719,20,3,,2,,,1,,,,,,,,,,,,,0
,1,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,,,1,,,1,,1,,,,,1,,0,38,23002,488413,15,,,1,,,,,,,,,,,,,,,,1000
,1,,1,1,1,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,,,,,,1,,,,,,,,1,,1,,,,1,,,1,,,,,,,,,,1,,1,50,23747,488852,19,3,,2,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,41,23703,488824,19,2,,3,,,1,,,,,,,,,,,,,1000
,1,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,1,,1,25,22771,488678,16,5,,1,,,,,,,,,,,,,,,,0
,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,,1,,1,25,23477,488813,9,3,,1,,,,,,,,,,,,,,,,0
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,,1,,1,17,23703,488824,19,,,1,,,,,,,,,,,,,,,,0
,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,1,,,,,,1,,1,15,23527,488450,5,,,1,,,,,,,,,,,,,,,,0
,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,100,22700,488489,16,4,,4,,,2,,,,,,,,,,,,,2000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,63,22907,488525,15,3,,2,,,1,,,,,,,,,,,,,1000
,0,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,1,,,1,1,,1,,,,,1,,,1,,,,,,1,,1,118,24015,488684,20,,,9,,,7,,,11,,,,,,,,,,2000
,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,16,23675,488826,19,2,4,1,,,,,,,,,,,,,,,,0
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,,0,70,23796,488585,11,2,,3,,,2,,,,,,,,,,,,,1000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,1,100,23453,488947,18,,,5,,,2,,,,,,,,,,,,,2000
,1,,,,1,,,,1,,,,,,,,1,1,1,,,,,,1,,1,,,,,,,1,,1,1,1,,,,,,,,1,,1,,,1,,,,1,,,,,,,,,,1,,1,40,22720,488566,16,,,2,,,1,,,,,,,,,,,,,1000
