haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,1,,,,1,148,23505,488738,10,,,5,,,3,,,,,,,,,,,,,1217000
,,,,,1,,,,1,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,0,55,23574,488719,10,2,,2,,,1,,,,,,,,,,,,,515000
,,,,,1,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,0,,1,,,1,,,,,,,,,,1,,1,1,,,,,,,,,1,,1,,,1,,,,1,21,23622,488783,10,,,1,,,,,,,,,,,,,,,,215000
,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,1,1,1,,,,1,1,,,,,,,,,,1,,,,1,350,23533,488774,10,,,8,4,,4,,,,,,,,,,,,,2080000
1,0,,,,1,,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,0,24,23574,488719,10,6,,2,,,1,,,,,,,,,,,,,197000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,0,33,23879,488410,12,4,,1,,,1,,,,,,,,,,,,,270000
,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0,35,23879,488410,12,4,,2,,,1,,,,,,,,,,,,,270000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,0,125,23879,488410,12,,,4,,,3,,,,,,,,,,,,,740000
,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,1,61,23858,488978,12,5,,3,,,2,,,,,,,,,,,,,173000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,0,91,23879,488410,12,,,4,,,2,,,,,,,,,,,,,845000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,0,35,23879,488410,12,4,,1,,,,,,,,,,,,,,,,262000
