haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,145,23002,488413,15,,3,6,1,,4,,,,,,,,,,,,,1220000
,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,1,,,,,,0,118,23555,488323,13,,,6,1,,4,,,,,,,,,,,,,1350000
,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,268,23555,488323,13,1,,7,,,5,,,,,1998,,,,,,,,2890000
,,,1,,1,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,148,23555,488323,13,,,4,1,2,3,,,,,,,,,,,,,1350000
,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,90,23820,488828,19,,,6,1,,4,,,,,,,,,,,,,230000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,0,300,23820,488828,19,,,7,,1,5,,,,,,,,,,,,,1880000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,0,290,22761,488628,16,1,,6,1,,3,,,,,,,,,,,,,4800000
,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,0,140,22761,488628,16,1,,5,1,,3,,,,,,,,,,,,,1590000
,,,1,1,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,0,116,23820,488828,19,1,3,5,2,1,3,,,,,1926,,,,,,,,890000
,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,120,23555,488323,13,1,,4,1,1,3,,,,,,,,,,,,,455000
