haussmann,ascenseur,orientation_sud,WC_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,29,23327,488506,6,2,,2,,,,,,,,,,,,,,,,335000
,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,1,1,,,,,,1,,,,150,23557,488562,4,,,5,2,,3,,,,,,,,,,,,,1890000
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,,146,23691,488528,4,,,4,,,2,,,,,,4,,,,,,,1155000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,84,23557,488562,4,2,,4,,,4,,,,,,,,,,,,,900000
,1,,,,1,,,,1,1,,1,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,1,25,23557,488562,4,3,,1,,,1,,,,,,,,,,,,,225000
,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,27,23557,488562,4,1,,1,,,,,,,,,,,,,,,,310000
,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,1,21,23557,488562,4,4,,1,,,,,,,,,,,,,,,,290000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,25,23574,488719,10,,,1,,,1,,,,,,,,,,,,,245000
,,,,,1,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,1,,,1,22,23557,488562,4,,,1,,,,,,,,,,,,,,,,225000
,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,30,23557,488562,4,,,3,,,,,,,,,,,,,,,,360000
,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,16,23557,488562,4,,,1,,,,,,,,,,,,,,,,192000
,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,110,23557,488562,4,,,4,,,2,,,,,,,,,,,,,1150000
,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,1,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,72,23879,488410,12,,,4,,,3,,,,,,,,,,,,,619000
,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,111,23421,488599,1,,,5,,,3,,,,,,,,,,,,,1180000
,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,1,24,23421,488599,1,1,,1,,,,,,,,,,,,,,,,343000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,83,23421,488599,1,,,3,,,2,,,,,,,,,,,,,850000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,90,23421,488599,1,,,4,,,3,,,,,,,,,,,,,1180000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,1,,,1,136,23421,488599,1,3,,4,,,3,,,,,,,,,,,,,1735000
,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,111,23421,488599,1,,,5,,,3,,,,,,,,,,,,,1180000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,66,23421,488599,1,,,3,,,2,,,,,,,,,,,,,840000
,1,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,32,23879,488410,12,,,1,,,,,,,,,,,,,,,,268000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,23574,488719,10,,,28,,,,,,,,,,,,,,,,219000
,,,,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,1,,1,1,,,1,1,,,,,,,,,,1,1,,1,,,,1,,,,44,23879,488410,12,,,2,,,1,,,,,,,,,,,,,382000
,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,,,,,,,,,1,1,,,,,,1,,,,38,23221,488844,17,,,2,,,1,,,,,,,,,,,,,349000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,24,23209,488825,17,,,1,,,1,,,,,,,,,,,,,215000
,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,1,24,23421,488599,1,1,,1,,,,,,,,,,,,,,,,343000
,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,6,23421,488599,1,3,,1,,,,,,,,,,,,,,,,69000
