Nom du lieu,Coordonne_x_millièmes,Coordonne_y_millièmes,Désignation
Sentier,23466,488674,Sentier
Sèvres-Babylone,23258,488512,Sèvres-Babylone
Sèvres-Lecourbe,23101,488451,Sèvres-Lecourbe
Simplon,23470,488946,Simplon
Solférino,23226,488585,Solférino
Stalingrad,23670,488843,Stalingrad
Strasbourg-Saint-Denis,23540,488691,Strasbourg - Saint-Denis
Sully-Morland,23618,488510,Sully – Morland
Telegraphe,23985,488753,Télégraphe
Temple,23610,488663,Temple
Ternes,22980,488780,Ternes
Tolbiac,23572,488265,Tolbiac
Trinité-d'Estienne d'Orves,23330,488765,Trinité d'Estienne d'Orves
Trocadéro,22870,488629,Trocadéro
Tuileries,23303,488644,Tuileries
Vaneau,23219,488488,Vaneau
Varenne,23155,488575,Varenne
Vaugirard (Adolphe Chérioux),23009,488395,Vaugirard
Vavin,23290,488420,Vavin
Victor Hugo,22852,488696,Victor Hugo
Villejuif-Léo Lagrange,23639,488041,Villejuif – Léo Lagrange
Villejuif-Louis Aragon,23669,487870,Villejuif - Louis Aragon
Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),23679,487959,Villejuif – Paul Vaillant Couturier
Villiers,23152,488810,Villiers
Volontaires,23080,488416,Volontaires
Voltaire (Léon Blum),23798,488578,Voltaire
Wagram,23046,488838,Wagram
AUGUSTE DELAUNE,24594,489066,Auguste Delaune
BALARD,22777,488361,Balard
BASILIQUE DE SAINT-DENIS,23618,489375,Basilique de Saint-Denis
BELVEDERE,22260,488765,Belvédère
BOBIGNY - PABLO PICASSO,24497,489065,Bobigny - Pablo Picasso
BRANCION,23016,488284,Brancion
BRIMBORION,22316,488218,Brimborion
CIMETIERE DE SAINT-DENIS,23639,489361,Cimetière de Saint-Denis
CITE UNIVERSITAIRE,23406,488198,Cité Universitaire
COSMONAUTES,23776,489316,Cosmonautes
COSMONAUTES,23774,489320,Cosmonautes
DANTON,24065,489226,Danton
DESNOUETTES,22831,488345,Desnouettes
DIDOT,23130,488259,Didot
DRANCY-AVENIR,24170,489177,Drancy Avenir
DRANCY-AVENIR,24171,489180,Drancy Avenir
ESCADRILLE NORMANDIE-NIEMEN,24351,489132,Escadrille Normandie-Niémen
GARE D'ALLEE DE LA TOUR RENDEZ VOUS,25055,488963,Allée de la Tour-Rendez-Vous
GARE D'AULNAY SOUS BOIS,24936,489321,Aulnay-sous-Bois
GARE DE BONDY,24789,488944,Bondy
GARE DE FREINVILLE SEVRAN,25189,489269,Freinville – Sevran
GARE DE GARGAN,25170,489082,Gargan
GARE DE L ABBAYE,25166,489223,L'Abbaye
GARE DE ST-DENIS RER,23453,489359,Gare de Saint-Denis
GARE DES COQUETIERS,24979,488921,Les Coquetiers
GARE DES PAVILLONS SOUS BOIS,25111,489019,Les Pavillons sous Bois
GASTON ROULAUD,24301,489146,Gaston Roulaud
GASTON ROULAUD,24302,489148,Gaston Roulaud
GEORGES BRASSENS,22949,488299,Georges Brassens
HENRI FARMAN-PORTE DE SEINE,22726,488349,Henri Farman
HOPITAL AVICENNE,24254,489155,Hôpital Avicenne
HOPITAL AVICENNE,24257,489157,Hôpital Avicenne
HOPITAL DELAFONTAINE,23702,489339,Hôpital Delafontaine
HOTEL DE VILLE DE BOBIGNY,24434,489065,Hôtel de ville de Bobigny
HOTEL DE VILLE DE LA COURNEUVE,23927,489272,Hôtel de Ville de la Courneuve
ISSY-VAL DE SEINE-RER,22625,488292,Issy – Val-de-Seine
JACQUES HENRI LARTIGUE,22591,488239,Jacques-Henri Lartigue
JEAN MOULIN,23198,488243,Jean Moulin
JEAN ROSTAND,24538,489077,Jean Rostand
LA COURNEUVE - 8 MAI 1945,24106,489206,La Courneuve – 8 Mai 1945
LA COURNEUVE - SIX ROUTES,23842,489301,La Courneuve – 6 Routes
LA DEFENSE-METRO-RER-GRANDE ARCHE,22362,488918,La Défense - Grande Arche
LA FERME,24373,489098,La Ferme
LA REMISE A JORELLE,24874,488928,Remise à Jorelle
LES COTEAUX,22203,488567,Les Coteaux
LES MILONS,22206,488513,Les Milons
LES MOULINEAUX,22514,488215,Les Moulineaux
LIBERATION,24385,489068,Libération
LYCEE HENRY SELLIER,25145,489177,Lycée Henri Sellier
MARCHE DE SAINT-DENIS,23556,489385,Marché de Saint-Denis
MAURICE LACHATRE,24141,489187,Maurice Lachâtre
MAURICE LACHATRE,24142,489190,Maurice Lachâtre
MEUDON SUR SEINE,22399,488192,Meudon-sur-Seine
MONTSOURIS,23331,488214,Montsouris
MUSEE DE SEVRES,22252,488286,Musée de Sèvres
NOISY-LE-SEC RER,24594,488953,Noisy le Sec
PARC DE SAINT CLOUD,22217,488431,Parc de Saint-Cloud‎
PETIT NOISY,24650,489001,Petit Noisy
PONT DE BONDY,24698,489052,Pont de Bondy
PONT DU GARIGLIANO (HOPITAL G.POMPIDOU),22699,488383,Pont du Garigliano
PORTE D'ISSY-ELIANNE JEANNIN-GARREAU,22808,488318,Porte d'Issy
PORTE D'ITALIE,23598,488189,Porte d'Italie
PORTE D'IVRY,23696,488217,Porte d'Ivry
PORTE D'ORLEANS,23254,488230,Porte d'Orléans
PORTE DE CHOISY,23643,488198,Porte de Choisy
PORTE DE VANVES,23063,488273,Porte de Vanves
PORTE DE VERSAILLES (PARC DES EXPOSITIONS),22877,488326,Porte de Versailles
PORTE DE VERSAILLES-PARC DES EXPOSITIONS,22874,488322,Porte de Versailles
POTERNE DES PEUPLIERS,23501,488207,Poterne des Peupliers
PUTEAUX,22331,488831,Puteaux
ROUGEMONT CHANTELOUP,25137,489313,Rougemont – Chanteloup
STADE CHARLETY (PORTE DE GENTILLY),23452,488193,Stade Charléty
STADE GEO ANDRE,24011,489245,Stade Géo André
SURESNES-LONGCHAMP,22213,488679,Suresnes – Longchamp
SUZANNE LENGLEN,22762,488336,Suzanne Lenglen
THEATRE GERARD PHILIPE,23502,489372,Théâtre Gérard Philippe
