requete,formattage,lat,lng
"rue+Desiree,Paris,France","Rue Desiree, 75020 Paris, France",48.86452,2.3920979
"voie+DM/20,Paris,France","Paris, France",48.856614,2.3522219
"cite+Dubourg,Paris,France","Cite Dubourg, 75020 Paris, France",48.8626846,2.4011002
"rue+des+Gatines,Paris,France","Rue des Gatines, 75020 Paris, France",48.8656654,2.3982416
"villa+Georgina,Paris,France","Villa Georgina, 75020 Paris, France",48.8717632,2.3977329
"avenue+du+Docteur+Gley,Paris,France","Avenue du Dr Gley, 75020 Paris, France",48.8769912,2.4110929
"villa+Godin,Paris,France","Villa Godin, 75020 Paris, France",48.8591145,2.4006203
"place+des+Gres,Paris,France","Place des Gres, 75020 Paris, France",48.859034,2.4058958
"rue+du+Guignier,Paris,France","Rue du Guignier, 75020 Paris, France",48.8714448,2.3933887
"villa+Hardy,Paris,France","Villa Hardy, 75020 Paris, France",48.8623049,2.4009579
"rue+Felix+Huguenet,Paris,France","Rue Felix Huguenet, 75020 Paris, France",48.8489176,2.4050247
"voie+I/20,Paris,France","Voie V 20, 75020 Paris, France",48.870057,2.390096
"rue+de+l'Indre,Paris,France","Rue de l'Indre, 75020 Paris, France",48.8629963,2.4036371
"rue+Henri+Ranvier,Paris,France","Rue Henri Ranvier, 75011 Paris, France",48.8587655,2.3866584
"rue+du+General+Renault,Paris,France","Rue du General Renault, 75011 Paris, France",48.8613109,2.3782094
"cite+de+la+Roquette,Paris,France","Cite de la Roquette, 75011 Paris, France",48.8549001,2.3741215
"rue+de+la+Roquette,Paris,France","Rue de la Roquette, 75011 Paris, France",48.8571536,2.3789162
"rue+Saint-Sabin,Paris,France","Rue Saint-Sabin, 75011 Paris, France",48.8571359,2.3701655
"rue+Scarron,Paris,France","Rue Scarron, 75003 Paris, France",48.8585958,2.3684367
"square+Servan,Paris,France","Square Servan, 75011 Paris, France",48.8609155,2.3826143
"passage+des+Taillandiers,Paris,France","Passage des Taillandiers, 75011 Paris, France",48.8538813,2.3748389
"passage+du+Trone,Paris,France","Passage du Trone, 75011 Paris, France",48.8494588,2.398365
"rue+Trousseau,Paris,France","Rue Trousseau, Paris, France",48.8520608,2.37896
"impasse+Truillot,Paris,France","Impasse Truillot, 75011 Paris, France",48.8602993,2.3744606
"rue+La+Vacquerie,Paris,France","Rue la Vacquerie, 75011 Paris, France",48.8578784,2.3851873
"rue+Jules+Valles,Paris,France","Rue Jules Valles, 75011 Paris, France",48.8536522,2.3851853
"allee+Verte,Paris,France","Allee Verte, 75011 Paris, France",48.8594287,2.3705617
"passage+Viallet,Paris,France","Passage Viallet, 75011 Paris, France",48.8564498,2.3812242
"boulevard+Voltaire,Paris,France","Boulevard Voltaire, 75011 Paris, France",48.8576375,2.3803381
"place+de+la+Nation,Paris,France","Place de la Nation, 75011 Paris, France",48.8483899,2.3959213
"autoroute+A4,Paris,France","A4, 75012 Paris, France",48.8209044,2.4612387
"rue+du+Sergent+Bauchat,Paris,France","Rue du Sergent Bauchat, 75012 Paris, France",48.845284,2.3925176
"allee+des+Buttes,Paris,France","Allee des Buttes, 75012 Paris, France",48.825677,2.4274215
"boulevard+Carnot,Paris,France","Boulevard Carnot, 75012 Paris, France",48.8440816,2.413102
"voie+CD/12,Paris,France","Paris, France",48.856614,2.3522219
"voie+CF/12,Paris,France","Paris, France",48.856614,2.3522219
"rue+de+Chambertin,Paris,France","Rue de Chambertin, 75012 Paris, France",48.8400675,2.3801107
"rue+Changarnier,Paris,France","Rue Changarnier, 75012 Paris, France",48.8453459,2.4116005
"square+Saint-Charles,Paris,France","Square Saint-Charles, 75012 Paris, France",48.8463972,2.3897078
"route+Circulaire,Paris,France","Route Circulaire, 75012 Paris, France",48.8388553,2.4584657
"voie+CL/12,Paris,France","12 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.8333672,2.2602665
"voie+CM/12,Paris,France","Paris, France",48.856614,2.3522219
"avenue+de+Corbera,Paris,France","Avenue de Corbera, 75012 Paris, France",48.8459165,2.3824
"voie+CR/12,Paris,France","12 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.833367,2.2602664
"rue+Paul+Crampel,Paris,France","Rue Paul Crampel, 75012 Paris, France",48.8409958,2.4058645
"voie+CS/12,Paris,France","Paris, France",48.856614,2.3522219
"voie+CZ/12,Paris,France","Paris, France",48.856614,2.3522219
"carrefour+de+la+Patte+d'Oie,Paris,France","Carrefour de la Patte d'Oie, 75012 Paris, France",48.8217566,2.4422062
"villa+Daumesnil,Paris,France","Villa Daumesnil, 75012 Paris, France",48.8371243,2.4009912
"route+Dauphine,Paris,France","Route Dauphine, 75012 Paris, France",48.830913,2.4392012
"rue+Christian+Dewet,Paris,France","Rue Christian Dewet, 75012 Paris, France",48.8461446,2.3929617
"square+Louis+Gentil,Paris,France","Square Louis Gentil, 75012 Paris, France",48.8335432,2.4047453
"route+de+la+Gerbe,Paris,France","Route de la Gerbe, 75012 Paris, France",48.8190209,2.4502195
"rue+de+Gravelle,Paris,France","Rue de Gravelle, 75012 Paris, France",48.8359971,2.3975301
"route+du+Fort+de+Gravelle,Paris,France","Route du Fort de Gravelle, 75012 Paris, France",48.8205286,2.4534222
"rue+Guillaumot,Paris,France","Rue Guillaumot, 75012 Paris, France",48.8457078,2.3775495
"passage+Hennel,Paris,France","Passage Hennel, 75012 Paris, France",48.8454647,2.380235
