requete,formattage,lat,lng
"square+Sainte-Croix+de+la+Bretonnerie,Paris,France","Square Sainte-Croix de la Bretonnerie, 75004 Paris, France",48.8584389,2.3546532
"rue+Sainte-Croix+de+la+Bretonnerie,Paris,France","Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",48.8583617,2.3556235
"rue+Caron,Paris,France","Rue Caron, 75004 Paris, France",48.855231,2.362717
"rue+de+la+Coutellerie,Paris,France","Rue de la Coutellerie, 75004 Paris, France",48.8574114,2.3505744
"rue+Agrippa+D'Aubigne,Paris,France","Rue Agrippa d'Aubigne, 75004 Paris, France",48.8500367,2.3621702
"quai+Henri+IV,Paris,France","Quai Henri IV, 75004 Paris, France",48.8485994,2.3629577
"boulevard+Henri+IV,Paris,France","Boulevard Henri IV, 75004 Paris, France",48.85155,2.3637239
"rue+de+Jarente,Paris,France","Rue de Jarente, 75004 Paris, France",48.855692,2.362975
"rue+des+Rosiers,Paris,France","Rue des Rosiers, 75004 Paris, France",48.85706949999999,2.3596246
"cite+Bergere,Paris,France","Cite Bergere, 75009 Paris, France",48.8719268,2.3439565
"rue+Bergere,Paris,France","Rue Bergere, Paris, France",48.8723454,2.3455534
"rue+Mechain,Paris,France","Rue Mechain, 75014 Paris, France",48.8356437,2.3398237
"villa+Moderne,Paris,France","Villa Moderne, 75014 Paris, France",48.8305454,2.3244503
"terrasse+Modigliani,Paris,France","Paris, France",48.856614,2.3522219
"rue+Louis+Morard,Paris,France","Rue Louis Morard, 75014 Paris, France",48.8288156,2.3203483
"rue+d'Odessa,Paris,France","Rue d'Odessa, Paris, France",48.8422762,2.324561
"rue+de+Perceval,Paris,France","Rue de Perceval, 75014 Paris, France",48.8372883,2.3211196
"place+Gilbert+Perroy,Paris,France","Place Gilbert Perroy, 75014 Paris, France",48.83222929999999,2.3254576
"boulevard+Adolphe+Pinard,Paris,France","Boulevard Adolphe Pinard, Paris, France",48.8237879,2.3076429
"place+du+Lieutenant+Stephane+Piobetta,Paris,France","Paris, France",48.856614,2.3522219
"rue+de+Plaisance,Paris,France","Rue de Plaisance, 75014 Paris, France",48.8330317,2.3188475
"rue+Roger,Paris,France","Rue Roger, 75014 Paris, France",48.8352787,2.326531
"square+de+l'Aide+Sociale,Paris,France","Square de l'Aide Sociale, 75014 Paris, France",48.8340113,2.3234467
"rue+Saint-Yves,Paris,France","Rue Saint-Yves, 75014 Paris, France",48.8257423,2.3337268
"voie+CP/19,Paris,France","Paris, France",48.856614,2.3522219
"rue+de+Crimee,Paris,France","Rue de Crimee, Paris, France",48.8861467,2.3819745
"voie+CW/19,Paris,France","Paris, France",48.856614,2.3522219
"voie+DC/19,Paris,France","Paris, France",48.856614,2.3522219
"voie+DD/19,Paris,France","19 Voie Georges Pompidou, 75004 Paris, France",48.8542102,2.3548962
"passage+Desgrais,Paris,France","Passage Desgrais, 75019 Paris, France",48.891565,2.3733283
"voie+DJ/19,Paris,France","19 Voie Georges Pompidou, 75004 Paris, France",48.8542102,2.3548962
"sente+des+Dorees,Paris,France","Sente des Dorees, 75019 Paris, France",48.8878762,2.393474
"passage+Dubois,Paris,France","Passage Dubois, 75019 Paris, France",48.8846256,2.3826918
"rue+du+Noyer-Durand,Paris,France","Rue du Progres, 93310 Paris, France",48.8867439,2.3992092
"voie+ED/19,Paris,France","19 Voie Georges Pompidou, 75004 Paris, France",48.85420999999999,2.354896
"rue+de+l'Egalite,Paris,France","Rue de l'Egalite, 75019 Paris, France",48.8808318,2.3949436
"rue+Sadi+Lecointe,Paris,France","Rue Sadi Lecointe, 75019 Paris, France",48.8806158,2.3734597
"voie+M/19,Paris,France","19 Voie Georges Pompidou, 75004 Paris, France",48.8542102,2.3548962
"boulevard+Macdonald,Paris,France","Boulevard Macdonald, 75019 Paris, France",48.8989188,2.3822221
"rue+des+Marchais,Paris,France","Rue des Marchais, 75019 Paris, France",48.8839651,2.3983382
"rue+du+Maroc,Paris,France","Rue du Maroc, 75019 Paris, France",48.8866081,2.3690828
"rue+Mathis,Paris,France","Rue Mathis, 75019 Paris, France",48.8909141,2.3745905
"passage+de+la+Moselle,Paris,France","Passage de la Moselle, 75019 Paris, France",48.8846018,2.3770937
"rue+de+la+Moselle,Paris,France","Rue de la Moselle, 75019 Paris, France",48.88523379999999,2.3761776
"rue+de+l'Oise,Paris,France","Rue de l'Oise, 75019 Paris, France",48.89033730000001,2.3821714
"voie+P/19,Paris,France","19 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.833285,2.2601377
"rue+Edouard+Pailleron,Paris,France","Rue Edouard Pailleron, 75019 Paris, France",48.8808845,2.3775389
"terrasse+du+Parc,Paris,France","Terrasse du Parc, 75019 Paris, France",48.8974077,2.3880175
"rue+Petit,Paris,France","Rue Petit, 75019 Paris, France",48.8855657,2.3863277
"rue+Petitot,Paris,France","Rue Petitot, 75019 Paris, France",48.876472,2.3927896
"rue+du+Plateau,Paris,France","Rue du Plateau, 75019 Paris, France",48.8782114,2.3834856
"rue+Jean+Quarre,Paris,France","Rue Jean Quarre, 75019 Paris, France",48.8768606,2.3967443
"voie+R/19,Paris,France","19 Rue de la Voie Verte, 92140 Clamart, France",48.8023341,2.2730861
"avenue+Ambroise+Rendu,Paris,France","Avenue Ambroise Rendu, 75019 Paris, France",48.8849372,2.3958739
"rue+Emile+Reynaud,Paris,France","Rue Emile Reynaud, Paris, France",48.90151230000001,2.3871758
"rue+Barrelet+de+Ricou,Paris,France","Rue Barrelet de Ricou, 75019 Paris, France",48.8772341,2.3780139
"villa+Maurice+Rollinat,Paris,France","Villa Maurice Rollinat, 75019 Paris, France",48.8818104,2.3911337
"rue+Jules+Romains,Paris,France","Rue Jules Romains, Paris, France",48.8734444,2.3779779
"rue+de+Rouen,Paris,France","Rue de Rouen, 75019 Paris, France",48.8875182,2.3745124
"place+Jules+Senard,Paris,France","Place Jules Senard, 75019 Paris, France",48.8779519,2.4067638
"place+du+President+Edouard+Herriot,Paris,France","Place du President Edouard Herriot, 75007 Paris, France",48.8606945,2.3194979
"rue+Malar,Paris,France","Rue Malar, 75007 Paris, France",48.86115119999999,2.3054962
"rue+Masseran,Paris,France","Rue Masseran, 75007 Paris, France",48.8485475,2.3141653
"boulevard+de+La+Tour-Maubourg,Paris,France","Boulevard de la Tour-Maubourg, 75007 Paris, France",48.8580787,2.3100009
"place+du+President+Mithouard,Paris,France","Place du President Mithouard, 75007 Paris, France",48.8505033,2.3137407
"cite+Negrier,Paris,France","Cite Negrier, 75007 Paris, France",48.8579161,2.307266
"rue+Oudinot,Paris,France","Rue Oudinot, 75007 Paris, France",48.85015749999999,2.3177138
"impasse+Oudinot,Paris,France","Impasse Oudinot, 75007 Paris, France",48.8505419,2.3197569
"rue+Robert+Esnault-Pelterie,Paris,France","Rue Robert Esnault-Pelterie, 75007 Paris, France",48.86200849999999,2.315086
"rue+de+La+Planche,Paris,France","Rue de la Planche, 75007 Paris, France",48.8530626,2.3253143
"place+de+la+Resistance,Paris,France","Place de la Resistance, 75007 Paris, France",48.8622265,2.3019446
"avenue+Franco-Russe,Paris,France","Avenue Franco-Russe, 75007 Paris, France",48.8602461,2.2998562
"villa+de+Segur,Paris,France","Villa de Segur, 75007 Paris, France",48.8504765,2.3098871
"port+de+Solferino,Paris,France","Rue de Solferino, 75007 Paris, France",48.8605939,2.3237909
"rue+Velpeau,Paris,France","Rue Velpeau, 75006 Paris, France",48.8512004,2.3250259
"avenue+de+Lowendal,Paris,France","Avenue de Lowendal, Paris, France",48.8508684,2.3058863
"voie+BJ/18,Paris,France","Paris, France",48.856614,2.3522219
"rue+Boinod,Paris,France","Rue Boinod, 75018 Paris, France",48.8935028,2.3509449
"rue+Boissieu,Paris,France","Rue Boissieu, 75018 Paris, France",48.8843177,2.3490613
"allee+des+Brouillards,Paris,France","Allee des Brouillards, 75018 Paris, France",48.8886186,2.3377402
"rue+Aristide+Bruant,Paris,France","Rue Aristide Bruant, 75018 Paris, France",48.8853829,2.3352416
"rue+Saint-Bruno,Paris,France","Rue Saint-Bruno, 75018 Paris, France",48.8859156,2.3556664
"voie+BS/18,Paris,France","Paris, France",48.856614,2.3522219
"voie+BU/18,Paris,France","18 Voie Georges Pompidou, 75004 Paris, France",48.8542125,2.3548903
"voie+C/18,Paris,France","18 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.833382,2.2601481
"rue+du+Square+Carpeaux,Paris,France","Rue du Square Carpeaux, 75018 Paris, France",48.8924829,2.3327439
"rue+Jacques+Cartier,Paris,France","Rue Jacques Cartier, 75018 Paris, France",48.8939043,2.3296623
"square+Caulaincourt,Paris,France","Square Caulaincourt, 75018 Paris, France",48.8898164,2.3357057
"rue+Caulaincourt,Paris,France","Rue Caulaincourt, Paris, France",48.8878974,2.3336799
"rue+Cavallotti,Paris,France","Rue Cavallotti, 75018 Paris, France",48.8862464,2.3282767
"rue+Cazotte,Paris,France","Rue Cazotte, 75018 Paris, France",48.8852485,2.3446675
"rue+Championnet,Paris,France","Rue Championnet, 75018 Paris, France",48.895755,2.3401644
"rue+Christiani,Paris,France","Rue Christiani, 75018 Paris, France",48.885996,2.3484533
"rue+de+Clignancourt,Paris,France","Rue de Clignancourt, 75018 Paris, France",48.88974469999999,2.348297
"rue+des+Cottages,Paris,France","Rue des Cottages, 75018 Paris, France",48.89092100000001,2.3376274
"rue+Coustou,Paris,France","Rue Coustou, 75018 Paris, France",48.8841541,2.3339198
